internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb,release_date,release_year,date
FRIENDSWORLD,Friends World,/game/friends-world/,MNgZVdJA%2BCYXQdhI0DIOEp2tpCJX36zCBcyCiCJh4Y4%3D,1,259951,2.99,14.99,1,80.053369,0,,0,0,2013170,1682294400,1770673795,2.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2361340/capsule_231x87.jpg?t=1682388219,2023-04-24 00:00:00+00:00,2023,04/24/23
AXIALDISC2,Axial Disc 2,/game/axial-disc-2/,4qeCSOH1WVPtyg9dmfBZ4YlyfX6yVAkDogwbhf7yj8k%3D,1,266641,2.99,14.99,1,80.053369,0,Positive,100,10,1956680,1688342400,1770686726,2.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1956680/capsule_231x87.jpg?t=1688446718,2023-07-03 00:00:00+00:00,2023,07/03/23
PIXELJUNKSCRAPPERSDELUXE,Pixeljunk Scrappers Deluxe,/game/pixeljunk-scrappers-deluxe/,0IV4rTfwkTfjDB2WMflvlO8rm4n9%2Bfnp%2B063IqKB9GM%3D,1,268577,2.99,14.99,1,80.053369,0,,0,0,1663210,1690416000,1770696518,2.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1663210/capsule_231x87.jpg?t=1746669280,2023-07-27 00:00:00+00:00,2023,07/27/23
ALLYOUNEEDISHELP,All You Need is Help,/game/all-you-need-is-help/,zP26YtRkWOb%2BdPeQI3FyTS2QcH%2F9X9z9DwchSjuvJFw%3D,1,291863,2.99,14.99,1,80.053369,0,Mixed,61,13,2249590,1727308800,1770691592,2.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2249590/capsule_231x87.jpg?t=1746668625,2024-09-26 00:00:00+00:00,2024,09/26/24
ATAKANGRYTUSSLINAWESOMEKNIGHTS,ATAK - Angry Tusslin Awesome Knights,/game/atak-angry-tusslin-awesome-knights/,5y4DWMZ3IK23PY4HW9Sq15zYhSt89p1k3E9gt4bnK%2BE%3D,1,309933,2.99,14.99,1,80.053369,0,,0,0,1560140,1759881600,1770673899,4.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1560140/83ff23959d71b5ee15fa0159fe542c16805f09d1/capsule_231x87.jpg?t=1763682182,2025-10-08 00:00:00+00:00,2025,10/08/25
X3TERRANCONFLICT,X3: Terran Conflict,/game/x3-terran-conflict/,W%2F9bClyS5jsha1FtBSd%2FLyRSCjFDB4K8QzExShe5Xqk%3D,1,321,3.19,15.99,1,80.050031,73,Very Positive,83,1087,2820,1224115200,1770320683,7.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2820/capsule_231x87.jpg?t=1762272051,2008-10-16 00:00:00+00:00,2008,10/16/08
HILLDIGTHEMYSTERIOUSSIGNAL,Hill Dig: The Mysterious Signal,,Ju7dVDu1KTIwAFc%2FuEyK8rf0szdeXQ7OlG5CsfZjxv4%3D,1,274880,3.19,15.99,1,80.050031,0,,0,0,2079460,0,1770785030,2.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2079460/capsule_231x87.jpg?t=1713551545,1970-01-01 00:00:00+00:00,1970,01/01/70
WORMSULTIMATEMAYHEM,Worms Ultimate Mayhem,/game/worms-ultimate-mayhem/,A7dKYx9o3AXtA%2FRXfgPeBLPnq1gteceeUhIiA4sLEMo%3D,1,163,3.39,16.99,1,80.047087,66,Very Positive,86,1601,70600,1317168000,1770075967,6.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/70600/capsule_231x87.jpg?t=1728996848,2011-09-28 00:00:00+00:00,2011,09/28/11
DRONESWARM,Drone Swarm,/game/drone-swarm/,OPsQYHT1QvbIIVdGhaRgcWS9aPnrKuARwh3jnltB9y4%3D,1,219545,3.39,16.99,1,80.047087,66,Mixed,62,269,401760,1603152000,1770325243,7.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/401760/capsule_231x87.jpg?t=1768874458,2020-10-20 00:00:00+00:00,2020,10/20/20
THECRACKPETSHOW,The Crackpet Show,/game/the-crackpet-show/,x32Cd%2FZEpqrgfSXzDyxS%2FozfulNsdnCD30%2FEPBOfpRE%3D,1,238565,3.39,16.99,1,80.047087,0,Very Positive,86,676,1390700,1671062400,1769899635,5.2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1390700/capsule_231x87.jpg?t=1709294812,2022-12-15 00:00:00+00:00,2022,12/15/22
